Discriminación,Dificultad,"Probabilidad adivinar",Inatención,id,idPrueba,idItem,index_tri
0.8000,-1.4000,0,1,13,16,1,1
0.4000,-0.8000,0,1,86,66,1,2
1.4000,-1.8000,0,1,90,67,1,3
1.3000,-0.5000,0,1,219,16,2,4
1.1000,0.4000,0,1,292,66,2,5
1.5000,-0.9000,0,1,296,67,2,6
0.7000,0.1000,0,1,495,66,3,7
0.5000,0.3000,0,1,499,67,3,8
0.4000,-1.0000,0,1,625,16,4,9
1.0000,-0.8000,0,1,698,66,4,10
0.9000,0.8000,0,1,702,67,4,11
0.6000,-1.8000,0,1,828,16,5,12
0.3000,-1.1000,0,1,901,66,5,13
0.5000,-1.3000,0,1,905,67,5,14
0.7000,0.6000,0,1,1029,16,6,15
1.3000,0.7000,0,1,1102,66,6,16
1.3000,-1.6000,0,1,1106,67,6,17
2.0000,1.2000,0,1,1229,16,7,18
2.4000,1.1000,0,1,1302,66,7,19
2.1000,1.4000,0,1,1306,67,7,20
2.3000,0.6000,0,1,1429,16,8,21
1.9000,0.0000,0,1,1502,66,8,22
2.2000,0.7000,0,1,1506,67,8,23
0.4000,-0.3000,0,1,1629,16,9,24
1.3000,-0.4000,0,1,1702,66,9,25
2.0000,-0.4000,0,1,1829,16,10,26
1.8000,0.1000,0,1,1902,66,10,27
2.4000,0.1000,0,1,1906,67,10,28
0.7000,1.4000,0,1,2028,16,11,29
1.1000,1.6000,0,1,2098,66,11,30
0.6000,1.1000,0,1,2102,67,11,31
0.8000,0.1000,0,1,2224,16,12,32
1.1000,0.1000,0,1,2294,66,12,33
1.8000,-1.2000,0,1,2298,67,12,34
0.9000,-0.3000,0,1,2420,16,13,35
1.6000,-0.2000,0,1,2490,66,13,36
1.0000,0.3000,0,1,2494,67,13,37
0.8000,-0.3000,0,1,2615,16,14,38
1.9000,0.3000,0,1,2685,66,14,39
1.5000,0.1000,0,1,2689,67,14,40
0.7000,0.2000,0,1,2810,16,15,41
1.1000,0.6000,0,1,2880,66,15,42
0.6000,0.4000,0,1,2884,67,15,43
